timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1613380942824,10,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,322,1,2,7,0,2
1613380942830,14,Ticks,204,,Thread Group - Ticks 1-1,,true,,102,486,1,2,0,0,1
1613380942849,6,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,332,1,3,3,0,1
1613380944020,9,Ticks,204,,Thread Group - Ticks 1-2,,true,,102,486,2,5,0,0,3
1613380944035,20,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,332,2,6,4,0,1
1613380944026,24,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,322,2,6,6,0,2
1613380945220,4,Ticks,204,,Thread Group - Ticks 1-3,,true,,102,486,3,7,0,0,1
1613380945226,16,Statistics,200,,Thread Group - Statistics 2-3,text,true,,214,322,3,9,3,0,1
1613380945236,11,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,258,332,3,9,3,0,1
1613380945817,4,Ticks,204,,Thread Group - Ticks 1-1,,true,,102,483,3,9,0,0,0
1613380945823,4,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,322,3,9,3,0,0
1613380945847,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,3,9,2,0,0
1613380946449,29,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,258,332,4,12,7,0,3
1613380946425,45,Statistics,200,,Thread Group - Statistics 2-4,text,true,,214,322,4,12,8,0,3
1613380946419,12,Ticks,204,,Thread Group - Ticks 1-4,,true,,102,486,4,11,0,0,3
1613380947624,10,Statistics,200,,Thread Group - Statistics 2-5,text,true,,214,322,5,14,3,0,1
1613380947618,4,Ticks,204,,Thread Group - Ticks 1-5,,true,,102,486,5,13,0,0,1
1613380947648,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,258,332,5,15,4,0,1
1613380948818,7,Ticks,204,,Thread Group - Ticks 1-6,,true,,102,486,6,17,0,0,2
1613380948836,11,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,258,332,6,18,4,0,2
1613380948826,20,Statistics,200,,Thread Group - Statistics 2-6,text,true,,214,322,6,18,5,0,1
1613380950025,12,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,322,7,20,3,0,0
1613380950019,9,Ticks,204,,Thread Group - Ticks 1-2,,true,,102,483,7,20,0,0,0
1613380950019,6,Ticks,204,,Thread Group - Ticks 1-7,,true,,102,486,7,20,0,0,2
1613380950034,16,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,329,7,21,3,0,0
1613380950046,11,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-7,text,true,,258,332,7,21,4,0,1
1613380950026,13,Statistics,200,,Thread Group - Statistics 2-7,text,true,,214,322,7,20,5,0,2
1613380951220,12,Ticks,204,,Thread Group - Ticks 1-8,,true,,102,487,8,23,0,0,3
1613380951227,25,Statistics,200,,Thread Group - Statistics 2-8,text,true,,214,323,8,24,8,0,3
1613380951246,9,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-8,text,true,,258,333,8,24,3,0,1
1613380952426,33,Statistics,200,,Thread Group - Statistics 2-9,text,true,,214,323,9,27,8,0,3
1613380952420,11,Ticks,204,,Thread Group - Ticks 1-9,,true,,102,487,9,26,0,0,3
1613380952447,14,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-9,text,true,,258,333,9,27,4,0,2
