timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1610627372539,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-7,text,true,,258,330,25,75,1,0,0,2021-01-14 13:25:47.556
1610627382738,247,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-8,text,true,,258,330,25,75,2,0,0,2021-01-14 13:25:57.763
1610627382719,2,Statistics,200,,Thread Group - Statistics 2-8,text,true,,214,324,25,75,1,0,1,2021-01-14 13:25:57.740
1610627382694,2,Ticks,204,,Thread Group - Ticks 1-8,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,1,2021-01-14 13:25:57.707
1610627383318,3,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,324,25,75,2,0,1,2021-01-14 13:25:58.335
1610627383318,2,Ticks,204,,Thread Group - Ticks 1-1,,false,Test failed: code expected to match /201/,102,460,25,75,0,0,1,2021-01-14 13:25:58.335
1610627383337,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,334,25,75,4,0,2,2021-01-14 13:25:58.358
1610627392895,2,Ticks,204,,Thread Group - Ticks 1-9,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,1,2021-01-14 13:26:07.913
1610627392939,246,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-9,text,true,,258,330,25,75,2,0,1,2021-01-14 13:26:07.961
1610627392918,2,Statistics,200,,Thread Group - Statistics 2-9,text,true,,214,324,25,75,1,0,0,2021-01-14 13:26:07.939
1610627403091,3,Ticks,204,,Thread Group - Ticks 1-10,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,2,2021-01-14 13:26:18.102
1610627403119,2,Statistics,200,,Thread Group - Statistics 2-10,text,true,,214,324,25,75,1,0,1,2021-01-14 13:26:18.133
1610627403138,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-10,text,true,,258,330,25,75,2,0,0,2021-01-14 13:26:18.153
1610627413320,2,Statistics,200,,Thread Group - Statistics 2-11,text,true,,214,324,25,75,2,0,1,2021-01-14 13:26:28.331
1610627413345,247,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-11,text,true,,258,330,25,75,2,0,1,2021-01-14 13:26:28.359
1610627413285,3,Ticks,204,,Thread Group - Ticks 1-11,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,1,2021-01-14 13:26:28.296
1610627423478,7,Ticks,204,,Thread Group - Ticks 1-12,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,3,2021-01-14 13:26:38.496
1610627423520,2,Statistics,200,,Thread Group - Statistics 2-12,text,true,,214,324,25,75,2,0,1,2021-01-14 13:26:38.541
1610627423540,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-12,text,true,,258,330,25,75,2,0,1,2021-01-14 13:26:38.558
1610627433687,2,Ticks,204,,Thread Group - Ticks 1-13,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,1,2021-01-14 13:26:48.697
1610627433718,3,Statistics,200,,Thread Group - Statistics 2-13,text,true,,214,324,25,75,2,0,1,2021-01-14 13:26:48.734
1610627433740,1,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-13,text,true,,258,330,25,75,1,0,0,2021-01-14 13:26:48.758
1610627443883,3,Ticks,204,,Thread Group - Ticks 1-14,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,1,2021-01-14 13:26:58.894
1610627443919,1,Statistics,200,,Thread Group - Statistics 2-14,text,true,,214,324,25,75,1,0,0,2021-01-14 13:26:58.931
1610627443939,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-14,text,true,,258,330,25,75,2,0,1,2021-01-14 13:26:58.956
1610627454081,2,Ticks,204,,Thread Group - Ticks 1-15,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,1,2021-01-14 13:27:09.103
1610627454120,2,Statistics,200,,Thread Group - Statistics 2-15,text,true,,214,324,25,75,2,0,1,2021-01-14 13:27:09.142
1610627454139,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-15,text,true,,258,330,25,75,1,0,0,2021-01-14 13:27:09.146
1610627464278,2,Ticks,204,,Thread Group - Ticks 1-16,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,1,2021-01-14 13:27:19.307
1610627464318,3,Statistics,200,,Thread Group - Statistics 2-16,text,true,,214,324,25,75,2,0,1,2021-01-14 13:27:19.337
1610627464338,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-16,text,true,,258,330,25,75,2,0,1,2021-01-14 13:27:19.362
1610627474522,201,Statistics,200,,Thread Group - Statistics 2-17,text,true,,214,324,25,75,1,0,0,2021-01-14 13:27:29.540
1610627474477,3,Ticks,204,,Thread Group - Ticks 1-17,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,2,2021-01-14 13:27:29.487
1610627474506,2,Ticks,204,,Thread Group - Ticks 1-2,,false,Test failed: code expected to match /201/,102,460,25,75,0,0,1,2021-01-14 13:27:29.521
1610627474520,203,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,324,25,75,2,0,1,2021-01-14 13:27:29.549
1610627474540,183,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-17,text,true,,258,330,25,75,2,0,1,2021-01-14 13:27:29.573
1610627474540,183,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,334,25,75,2,0,1,2021-01-14 13:27:29.573
1610627484675,2,Ticks,204,,Thread Group - Ticks 1-18,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,1,2021-01-14 13:27:39.689
1610627484720,2,Statistics,200,,Thread Group - Statistics 2-18,text,true,,214,324,25,75,1,0,0,2021-01-14 13:27:39.737
1610627484738,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-18,text,true,,258,330,25,75,2,0,1,2021-01-14 13:27:39.755
1610627494939,304,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-19,text,true,,258,330,25,75,2,0,1,2021-01-14 13:27:49.963
1610627494920,2,Statistics,200,,Thread Group - Statistics 2-19,text,true,,214,324,25,75,1,0,0,2021-01-14 13:27:49.934
1610627494874,2,Ticks,204,,Thread Group - Ticks 1-19,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,0,2021-01-14 13:27:49.898
1610627505072,3,Ticks,204,,Thread Group - Ticks 1-20,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,1,2021-01-14 13:28:00.094
1610627505121,1,Statistics,200,,Thread Group - Statistics 2-20,text,true,,214,324,25,75,1,0,0,2021-01-14 13:28:00.172
1610627505139,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-20,text,true,,258,330,25,75,2,0,1,2021-01-14 13:28:00.185
1610627515269,3,Ticks,204,,Thread Group - Ticks 1-21,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,1,2021-01-14 13:28:10.281
1610627515338,285,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-21,text,true,,258,330,25,75,2,0,1,2021-01-14 13:28:10.365
1610627515319,2,Statistics,200,,Thread Group - Statistics 2-21,text,true,,214,324,25,75,2,0,1,2021-01-14 13:28:10.333
1610627525468,2,Ticks,204,,Thread Group - Ticks 1-22,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,1,2021-01-14 13:28:20.479
1610627525538,332,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-22,text,true,,258,330,25,75,2,0,1,2021-01-14 13:28:20.564
1610627525521,2,Statistics,200,,Thread Group - Statistics 2-22,text,true,,214,324,25,75,2,0,1,2021-01-14 13:28:20.532
1610627535739,407,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-23,text,true,,258,330,25,75,1,0,0,2021-01-14 13:28:30.749
1610627535668,3,Ticks,204,,Thread Group - Ticks 1-23,,false,Test failed: code expected to match /201/,102,456,25,75,0,0,1,2021-01-14 13:28:30.681
1610627535721,1,Statistics,200,,Thread Group - Statistics 2-23,text,true,,214,324,25,75,1,0,0,2021-01-14 13:28:30.745
1610627545919,2,Statistics,200,,Thread Group - Statistics 2-24,text,true,,214,324,24,72,2,0,1,2021-01-14 13:28:40.932
1610627545867,2,Ticks,204,,Thread Group - Ticks 1-24,,false,Test failed: code expected to match /201/,102,456,24,72,0,0,0,2021-01-14 13:28:40.877
1610627545937,439,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-24,text,true,,258,330,24,72,2,0,1,2021-01-14 13:28:40.962
1610627556067,2,Ticks,204,,Thread Group - Ticks 1-25,,false,Test failed: code expected to match /201/,102,456,23,69,0,0,0,2021-01-14 13:28:51.079
1610627556118,2,Statistics,200,,Thread Group - Statistics 2-25,text,true,,214,324,23,68,1,0,1,2021-01-14 13:28:51.128
1610627556138,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-25,text,true,,258,330,23,67,2,0,0,2021-01-14 13:28:51.149
1610627556703,2,Ticks,204,,Thread Group - Ticks 1-3,,false,Test failed: code expected to match /201/,102,460,22,66,0,0,1,2021-01-14 13:28:51.715
1610627556720,3,Statistics,200,,Thread Group - Statistics 2-3,text,true,,214,324,22,65,2,0,1,2021-01-14 13:28:51.746
1610627556739,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,258,334,22,64,3,0,1,2021-01-14 13:28:51.748
1610627566906,3,Ticks,204,,Thread Group - Ticks 1-4,,false,Test failed: code expected to match /201/,102,460,21,63,0,0,2,2021-01-14 13:29:02.147
1610627566939,289,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,258,334,21,63,2,0,1,2021-01-14 13:29:02.139
1610627566920,1,Statistics,200,,Thread Group - Statistics 2-4,text,true,,214,324,21,63,1,0,0,2021-01-14 13:29:02.150
1610627577100,2,Ticks,204,,Thread Group - Ticks 1-5,,false,Test failed: code expected to match /201/,102,460,20,60,0,0,0,2021-01-14 13:29:12.115
1610627577120,2,Statistics,200,,Thread Group - Statistics 2-5,text,true,,214,324,20,59,1,0,0,2021-01-14 13:29:12.150
1610627577139,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,258,334,20,59,3,0,1,2021-01-14 13:29:12.164
1610627587300,2,Ticks,204,,Thread Group - Ticks 1-6,,false,Test failed: code expected to match /201/,102,460,19,57,0,0,1,2021-01-14 13:29:22.310
1610627587346,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,258,334,19,57,3,0,1,2021-01-14 13:29:22.357
1610627587346,3,Statistics,200,,Thread Group - Statistics 2-6,text,true,,214,324,19,57,3,0,1,2021-01-14 13:29:22.336
1610627597504,2,Ticks,204,,Thread Group - Ticks 1-7,,false,Test failed: code expected to match /201/,102,460,18,54,0,0,1,2021-01-14 13:29:32.518
1610627597520,3,Statistics,200,,Thread Group - Statistics 2-7,text,true,,214,324,18,53,3,0,2,2021-01-14 13:29:32.543
1610627597539,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-7,text,true,,258,334,18,52,3,0,1,2021-01-14 13:29:32.546
1610627607695,2,Ticks,204,,Thread Group - Ticks 1-8,,false,Test failed: code expected to match /201/,102,460,17,51,0,0,1,2021-01-14 13:29:42.991
1610627607719,2,Statistics,200,,Thread Group - Statistics 2-8,text,true,,214,324,17,50,2,0,1,2021-01-14 13:29:42.991
1610627607738,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-8,text,true,,258,334,17,49,2,0,1,2021-01-14 13:29:42.991
1610627608319,2,Ticks,204,,Thread Group - Ticks 1-1,,false,Test failed: code expected to match /201/,102,457,16,48,0,0,1,2021-01-14 13:29:43.341
1610627608319,3,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,324,16,48,2,0,1,2021-01-14 13:29:43.334
1610627608338,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,331,16,46,2,0,1,2021-01-14 13:29:43.362
