timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1613379379321,14,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,496,1,2,14,0,2
1613379379343,13,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,264,332,1,3,7,0,2
1613379379336,13,Statistics,200,,Thread Group - Statistics 2-1,text,true,,221,322,1,3,6,0,2
1613379380509,9,Ticks,204,,Thread Group - Ticks 1-2,,true,,102,496,2,4,0,0,4
1613379380542,17,Statistics,200,,Thread Group - Statistics 2-2,text,true,,220,322,2,6,3,0,1
1613379380539,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,264,332,2,6,3,0,1
1613379381708,6,Ticks,204,,Thread Group - Ticks 1-3,,true,,102,496,3,7,0,0,2
1613379381729,7,Statistics,200,,Thread Group - Statistics 2-3,text,true,,221,322,3,8,6,0,2
1613379381742,8,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,332,3,9,8,0,3
1613379382305,4,Ticks,204,,Thread Group - Ticks 1-1,,true,,102,493,3,9,0,0,0
1613379382335,5,Statistics,200,,Thread Group - Statistics 2-1,text,true,,221,322,3,9,4,0,0
1613379382341,7,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,3,9,3,0,0
1613379382909,7,Ticks,201,,Thread Group - Ticks 1-4,,true,,121,496,4,10,7,0,2
1613379382940,6,Statistics,200,,Thread Group - Statistics 2-4,text,true,,221,322,4,12,4,0,2
1613379382935,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,264,332,4,12,3,0,1
1613379384110,7,Ticks,204,,Thread Group - Ticks 1-5,,true,,102,496,5,13,0,0,3
1613379384136,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,332,5,14,3,0,1
1613379384142,10,Statistics,200,,Thread Group - Statistics 2-5,text,true,,220,322,5,15,4,0,1
1613379385337,8,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,264,332,6,18,7,0,2
1613379385312,10,Ticks,201,,Thread Group - Ticks 1-6,,true,,121,496,6,16,10,0,3
1613379385341,8,Statistics,200,,Thread Group - Statistics 2-6,text,true,,221,322,6,18,5,0,2
