timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1613378780217,49,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,322,1,3,41,0,30
1613378780231,35,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,448,1,3,30,0,16
1613378780217,52,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,332,1,3,41,0,30
1613378781344,5,Ticks,204,,Thread Group - Ticks 1-2,,true,,102,448,2,4,0,0,1
1613378781377,8,Statistics,200,,Thread Group - Statistics 2-2,text,true,,220,322,2,5,6,0,1
1613378781404,7,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,264,332,2,6,6,0,2
1613378782545,10,Ticks,201,,Thread Group - Ticks 1-3,,true,,121,448,3,7,10,0,3
1613378782578,7,Statistics,200,,Thread Group - Statistics 2-3,text,true,,220,322,3,8,6,0,2
1613378782606,9,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,332,3,9,7,0,2
1613378783154,5,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,445,3,9,5,0,0
1613378783184,6,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,3,9,5,0,0
1613378783206,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,3,9,4,0,0
1613378783740,6,Ticks,204,,Thread Group - Ticks 1-4,,true,,102,448,4,10,0,0,2
1613378783785,5,Statistics,200,,Thread Group - Statistics 2-4,text,true,,214,322,4,11,4,0,2
1613378783805,6,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,264,332,4,12,5,0,1
1613378784941,17,Ticks,201,,Thread Group - Ticks 1-5,,true,,121,448,5,13,17,0,6
1613378785005,15,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,332,5,15,13,0,6
1613378784991,13,Statistics,200,,Thread Group - Statistics 2-5,text,true,,220,322,5,15,11,0,5
