timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1613375615921,285,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,322,1,3,278,0,34
1613375615921,288,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,332,1,3,287,0,34
1613375615936,345,Ticks,204,,Thread Group - Ticks 1-1,,true,,102,448,1,3,0,0,19
1613375617031,8,Ticks,201,,Thread Group - Ticks 1-2,,true,,121,448,2,4,8,0,1
1613375617060,9,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,322,2,5,8,0,1
1613375617091,12,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,332,2,6,9,0,2
1613375618235,10,Ticks,204,,Thread Group - Ticks 1-3,,true,,102,448,3,7,0,0,3
1613375618290,11,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,332,3,9,9,0,2
1613375618294,12,Statistics,200,,Thread Group - Statistics 2-3,text,true,,220,322,3,9,6,0,2
1613375618858,25,Ticks,204,,Thread Group - Ticks 1-1,,true,,102,445,3,9,0,0,0
1613375618868,49,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,3,9,16,0,0
1613375618893,40,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,3,9,21,0,0
1613375619428,14,Ticks,204,,Thread Group - Ticks 1-4,,true,,102,448,4,10,0,0,4
1613375619475,7,Statistics,200,,Thread Group - Statistics 2-4,text,true,,220,322,4,11,5,0,2
1613375619492,11,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,264,332,4,12,9,0,2
1613375620622,11,Ticks,201,,Thread Group - Ticks 1-5,,true,,121,448,5,13,11,0,3
1613375620667,7,Statistics,200,,Thread Group - Statistics 2-5,text,true,,220,322,5,14,6,0,2
1613375620684,10,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,332,5,15,9,0,4
1613375621820,10,Ticks,204,,Thread Group - Ticks 1-6,,true,,102,448,6,16,0,0,2
1613375621868,6,Statistics,200,,Thread Group - Statistics 2-6,text,true,,220,322,6,17,5,0,2
1613375621889,11,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,264,332,6,18,9,0,2
1613375623024,5,Ticks,204,,Thread Group - Ticks 1-7,,true,,102,448,7,19,0,0,1
1613375623059,9,Statistics,200,,Thread Group - Statistics 2-2,text,true,,220,322,6,19,7,0,0
1613375623030,10,Ticks,204,,Thread Group - Ticks 1-2,,true,,102,445,7,19,0,0,0
1613375623088,13,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-7,text,true,,264,332,7,21,10,0,2
1613375623076,9,Statistics,200,,Thread Group - Statistics 2-7,text,true,,220,322,7,20,8,0,2
1613375623091,22,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,329,7,21,17,0,0
1613375624225,8,Ticks,201,,Thread Group - Ticks 1-8,,true,,121,449,8,22,8,0,2
1613375624272,4,Statistics,200,,Thread Group - Statistics 2-8,text,true,,220,323,8,23,4,0,1
