timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1610564159983,6,Ticks,204,,Thread Group - Ticks 1-8,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:52:14.993
1610564160005,6,Statistics,200,,Thread Group - Statistics 2-8,text,true,,214,324,25,75,5,0,2,2021-01-13 19:52:15.016
1610564160027,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-8,text,true,,258,331,25,75,3,0,1,2021-01-13 19:52:15.046
1610564160615,6,Ticks,204,,Thread Group - Ticks 1-1,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:52:15.648
1610564160626,8,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,331,25,75,6,0,3,2021-01-13 19:52:15.651
1610564160615,8,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,324,25,75,5,0,2,2021-01-13 19:52:15.652
1610564170188,2,Ticks,204,,Thread Group - Ticks 1-9,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,1,2021-01-13 19:52:25.222
1610564170235,2,Statistics,200,,Thread Group - Statistics 2-9,text,true,,214,324,25,75,2,0,1,2021-01-13 19:52:25.228
1610564170235,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-9,text,true,,258,331,25,75,2,0,1,2021-01-13 19:52:25.242
1610564180380,7,Ticks,204,,Thread Group - Ticks 1-10,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,3,2021-01-13 19:52:35.415
1610564180402,4,Statistics,200,,Thread Group - Statistics 2-10,text,true,,214,324,25,75,4,0,2,2021-01-13 19:52:35.411
1610564180427,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-10,text,true,,258,331,25,75,1,0,0,2021-01-13 19:52:35.439
1610564190585,6,Ticks,204,,Thread Group - Ticks 1-11,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:52:45.617
1610564190601,3,Statistics,200,,Thread Group - Statistics 2-11,text,true,,214,324,25,75,3,0,1,2021-01-13 19:52:45.620
1610564190628,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-11,text,true,,258,331,25,75,2,0,1,2021-01-13 19:52:45.646
1610564200773,6,Ticks,204,,Thread Group - Ticks 1-12,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:52:55.804
1610564200800,2,Statistics,200,,Thread Group - Statistics 2-12,text,true,,214,324,25,75,2,0,1,2021-01-13 19:52:55.808
1610564200825,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-12,text,true,,258,331,25,75,2,0,1,2021-01-13 19:52:55.838
1610564210973,7,Ticks,204,,Thread Group - Ticks 1-13,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,3,2021-01-13 19:53:06.005
1610564210999,6,Statistics,200,,Thread Group - Statistics 2-13,text,true,,214,324,25,75,5,0,2,2021-01-13 19:53:06.008
1610564211024,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-13,text,true,,258,331,25,75,2,0,1,2021-01-13 19:53:06.037
1610564221170,5,Ticks,204,,Thread Group - Ticks 1-14,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:53:16.195
1610564221199,3,Statistics,200,,Thread Group - Statistics 2-14,text,true,,214,324,25,75,3,0,1,2021-01-13 19:53:16.214
1610564221226,1,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-14,text,true,,258,331,25,75,1,0,0,2021-01-13 19:53:16.238
1610564231365,5,Ticks,204,,Thread Group - Ticks 1-15,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,1,2021-01-13 19:53:26.391
1610564231397,2,Statistics,200,,Thread Group - Statistics 2-15,text,true,,214,324,25,75,2,0,1,2021-01-13 19:53:26.417
1610564231424,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-15,text,true,,258,331,25,75,2,0,1,2021-01-13 19:53:26.438
1610564241562,7,Ticks,204,,Thread Group - Ticks 1-16,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,4,2021-01-13 19:53:36.592
1610564241601,3,Statistics,200,,Thread Group - Statistics 2-16,text,true,,214,324,25,75,3,0,1,2021-01-13 19:53:36.612
1610564241626,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-16,text,true,,258,331,25,75,2,0,1,2021-01-13 19:53:36.637
1610564251758,2,Ticks,204,,Thread Group - Ticks 1-17,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,0,2021-01-13 19:53:46.779
1610564251797,2,Statistics,200,,Thread Group - Statistics 2-17,text,true,,214,324,25,75,1,0,0,2021-01-13 19:53:46.811
1610564251800,2,Ticks,204,,Thread Group - Ticks 1-2,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,1,2021-01-13 19:53:46.815
1610564251809,4,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,324,25,75,3,0,1,2021-01-13 19:53:46.829
1610564251826,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-17,text,true,,258,331,25,75,3,0,1,2021-01-13 19:53:46.847
1610564251826,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,331,25,75,3,0,1,2021-01-13 19:53:46.847
1610564261961,6,Ticks,204,,Thread Group - Ticks 1-18,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:53:57.244
1610564261998,2,Statistics,200,,Thread Group - Statistics 2-18,text,true,,214,324,25,75,2,0,1,2021-01-13 19:53:57.249
1610564262024,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-18,text,true,,258,331,25,75,2,0,1,2021-01-13 19:53:57.254
1610564272165,7,Ticks,204,,Thread Group - Ticks 1-19,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,3,2021-01-13 19:54:07.177
1610564272198,3,Statistics,200,,Thread Group - Statistics 2-19,text,true,,214,324,25,75,2,0,1,2021-01-13 19:54:07.212
1610564272229,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-19,text,true,,258,331,25,75,2,0,1,2021-01-13 19:54:07.237
1610564282355,6,Ticks,204,,Thread Group - Ticks 1-20,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:54:17.384
1610564282400,2,Statistics,200,,Thread Group - Statistics 2-20,text,true,,214,324,25,75,2,0,0,2021-01-13 19:54:17.410
1610564282425,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-20,text,true,,258,331,25,75,1,0,0,2021-01-13 19:54:17.435
1610564292546,2,Ticks,204,,Thread Group - Ticks 1-21,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,1,2021-01-13 19:54:27.574
1610564292597,1,Statistics,200,,Thread Group - Statistics 2-21,text,true,,214,324,25,75,1,0,0,2021-01-13 19:54:27.609
1610564292626,1,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-21,text,true,,258,331,25,75,1,0,0,2021-01-13 19:54:27.640
1610564302749,7,Ticks,204,,Thread Group - Ticks 1-22,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,4,2021-01-13 19:54:37.773
1610564302797,2,Statistics,200,,Thread Group - Statistics 2-22,text,true,,214,324,25,75,1,0,0,2021-01-13 19:54:37.807
1610564302825,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-22,text,true,,258,331,25,75,2,0,1,2021-01-13 19:54:37.835
1610564312947,4,Ticks,204,,Thread Group - Ticks 1-23,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,1,2021-01-13 19:54:47.982
1610564313000,2,Statistics,200,,Thread Group - Statistics 2-23,text,true,,214,324,25,75,2,0,0,2021-01-13 19:54:48.014
1610564313025,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-23,text,true,,258,331,25,75,2,0,1,2021-01-13 19:54:48.038
1610564323146,2,Ticks,204,,Thread Group - Ticks 1-24,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,1,2021-01-13 19:54:58.164
1610564323196,1,Statistics,200,,Thread Group - Statistics 2-24,text,true,,214,324,25,75,1,0,0,2021-01-13 19:54:58.214
1610564323225,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-24,text,true,,258,331,25,75,1,0,0,2021-01-13 19:54:58.246
1610564333345,5,Ticks,204,,Thread Group - Ticks 1-25,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:55:08.354
1610564333398,3,Statistics,200,,Thread Group - Statistics 2-25,text,true,,214,324,25,75,3,0,1,2021-01-13 19:55:08.409
1610564333426,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-25,text,true,,258,331,25,75,2,0,1,2021-01-13 19:55:08.440
