timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1613134541764,62,Ticks,204,,Thread Group - Ticks 1-1,,true,,102,448,1,3,0,0,38,2021-02-12 13:55:41.569
1613134541745,86,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,1,3,81,0,57,2021-02-12 13:55:41.578
1613134541745,86,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,264,332,1,3,81,0,57,2021-02-12 13:55:41.607
1613134542757,4,Ticks,201,,Thread Group - Ticks 1-2,,true,,121,448,2,4,4,0,1,2021-02-12 13:55:42.754
1613134542779,7,Statistics,200,,Thread Group - Statistics 2-2,text,true,,221,322,2,5,6,0,2,2021-02-12 13:55:42.777
1613134542815,7,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,264,332,2,6,7,0,3,2021-02-12 13:55:42.812
1613134543955,4,Ticks,204,,Thread Group - Ticks 1-3,,true,,102,448,3,7,0,0,1,2021-02-12 13:55:43.953
1613134543978,4,Statistics,200,,Thread Group - Statistics 2-3,text,true,,220,322,3,8,4,0,2,2021-02-12 13:55:43.977
1613134544010,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,332,3,9,4,0,2,2021-02-12 13:55:44.009
1613134544584,3,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,3,9,3,0,0,2021-02-12 13:55:41.915
1613134544584,5,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,445,3,9,5,0,0,2021-02-12 13:55:41.915
1613134544610,8,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,264,329,3,9,6,0,0,2021-02-12 13:55:41.915
1613134545153,4,Ticks,204,,Thread Group - Ticks 1-4,,true,,102,448,4,10,0,0,1,2021-02-12 13:55:45.151
1613134545177,5,Statistics,200,,Thread Group - Statistics 2-4,text,true,,222,322,4,11,4,0,2,2021-02-12 13:55:45.175
1613134545211,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,264,332,4,12,4,0,1,2021-02-12 13:55:45.210
1613134546350,5,Ticks,201,,Thread Group - Ticks 1-5,,true,,121,448,5,13,5,0,1,2021-02-12 13:55:46.348
1613134546377,4,Statistics,200,,Thread Group - Statistics 2-5,text,true,,222,322,5,14,4,0,2,2021-02-12 13:55:46.375
1613134546409,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,332,5,15,4,0,2,2021-02-12 13:55:46.407
1613134547545,4,Ticks,204,,Thread Group - Ticks 1-6,,true,,102,448,6,16,0,0,1,2021-02-12 13:55:47.543
1613134547578,3,Statistics,200,,Thread Group - Statistics 2-6,text,true,,220,322,6,17,3,0,1,2021-02-12 13:55:47.576
1613134547609,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,264,332,6,18,3,0,1,2021-02-12 13:55:47.607
1613134548742,4,Ticks,201,,Thread Group - Ticks 1-7,,true,,121,448,7,19,4,0,1,2021-02-12 13:55:48.740
1613134548756,5,Ticks,204,,Thread Group - Ticks 1-2,,true,,102,445,7,19,0,0,0,2021-02-12 13:55:42.794
1613134548778,4,Statistics,200,,Thread Group - Statistics 2-2,text,true,,222,322,7,20,4,0,0,2021-02-12 13:55:42.796
1613134548778,7,Statistics,200,,Thread Group - Statistics 2-7,text,true,,222,322,7,20,4,0,1,2021-02-12 13:55:48.776
1613134548810,18,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-7,text,true,,264,332,7,21,8,0,3,2021-02-12 13:55:48.807
1613134548815,18,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,264,329,7,21,16,0,0,2021-02-12 13:55:42.856
1613134549942,4,Ticks,204,,Thread Group - Ticks 1-8,,true,,102,449,8,22,0,0,2,2021-02-12 13:55:49.938
1613134549978,6,Statistics,200,,Thread Group - Statistics 2-8,text,true,,220,323,8,23,5,0,1,2021-02-12 13:55:49.976
1613134550009,8,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-8,text,true,,264,333,8,24,6,0,1,2021-02-12 13:55:50.007
1613134551131,3,Ticks,204,,Thread Group - Ticks 1-9,,true,,102,449,9,25,0,0,1,2021-02-12 13:55:51.129
1613134551180,4,Statistics,200,,Thread Group - Statistics 2-9,text,true,,222,323,9,26,4,0,2,2021-02-12 13:55:51.178
1613134551212,7,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-9,text,true,,264,333,9,27,6,0,1,2021-02-12 13:55:51.209
1613134552335,3,Ticks,204,,Thread Group - Ticks 1-10,,true,,102,449,10,28,0,0,0,2021-02-12 13:55:52.333
1613134552379,4,Statistics,200,,Thread Group - Statistics 2-10,text,true,,222,323,10,29,3,0,1,2021-02-12 13:55:52.378
1613134552419,8,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-10,text,true,,264,333,10,30,6,0,2,2021-02-12 13:55:52.416
1613134552954,7,Ticks,204,,Thread Group - Ticks 1-3,,true,,102,446,10,30,0,0,0,2021-02-12 13:55:43.992
1613134552978,11,Statistics,200,,Thread Group - Statistics 2-3,text,true,,220,323,10,30,8,0,0,2021-02-12 13:55:43.993
1613134553010,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,330,10,30,4,0,0,2021-02-12 13:55:44.046
1613134553529,3,Ticks,201,,Thread Group - Ticks 1-11,,true,,121,449,11,31,3,0,1,2021-02-12 13:55:53.526
1613134553580,4,Statistics,200,,Thread Group - Statistics 2-11,text,true,,220,323,11,32,3,0,1,2021-02-12 13:55:53.578
1613134553583,7,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,446,11,32,7,0,0,2021-02-12 13:55:44.621
1613134553583,8,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,323,11,32,4,0,0,2021-02-12 13:55:44.622
1613134553615,12,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-11,text,true,,264,333,11,33,11,0,3,2021-02-12 13:55:53.608
1613134553613,20,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,264,330,11,33,13,0,0,2021-02-12 13:55:44.634
1613134554722,4,Ticks,204,,Thread Group - Ticks 1-12,,true,,102,449,12,34,0,0,1,2021-02-12 13:55:54.721
1613134554777,4,Statistics,200,,Thread Group - Statistics 2-12,text,true,,222,323,12,35,3,0,1,2021-02-12 13:55:54.776
1613134554810,9,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-12,text,true,,264,333,12,36,8,0,4,2021-02-12 13:55:54.809
1613134555924,3,Ticks,204,,Thread Group - Ticks 1-13,,true,,102,449,13,37,0,0,1,2021-02-12 13:55:55.922
