timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1613379512893,7,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,1,2,6,0,3
1613379512893,13,Ticks,204,,Thread Group - Ticks 1-1,,true,,102,496,1,2,0,0,3
1613379512921,9,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,264,332,1,3,8,0,1
1613379514081,5,Ticks,204,,Thread Group - Ticks 1-2,,true,,102,496,2,4,0,0,1
1613379514091,5,Statistics,200,,Thread Group - Statistics 2-2,text,true,,220,322,2,5,4,0,2
1613379514101,9,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,264,332,2,6,8,0,1
1613379515280,15,Ticks,204,,Thread Group - Ticks 1-3,,true,,102,496,3,8,0,0,6
1613379515292,42,Statistics,200,,Thread Group - Statistics 2-3,text,true,,220,322,3,9,11,0,3
1613379515321,17,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,332,3,9,7,0,2
1613379515881,9,Ticks,204,,Thread Group - Ticks 1-1,,true,,102,493,3,9,0,0,0
1613379515893,91,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,3,9,5,0,0
1613379515920,74,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,3,9,5,0,0
1613379516476,5,Ticks,204,,Thread Group - Ticks 1-4,,true,,102,496,4,10,0,0,2
1613379516491,15,Statistics,200,,Thread Group - Statistics 2-4,text,true,,220,322,4,12,3,0,1
1613379516501,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,264,332,4,12,3,0,1
1613379517677,4,Ticks,204,,Thread Group - Ticks 1-5,,true,,102,496,5,13,0,0,2
1613379517690,16,Statistics,200,,Thread Group - Statistics 2-5,text,true,,220,322,5,14,14,0,11
1613379517716,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,332,5,15,3,0,1
1613379518877,5,Ticks,204,,Thread Group - Ticks 1-6,,true,,102,496,6,16,0,0,1
1613379518890,4,Statistics,200,,Thread Group - Statistics 2-6,text,true,,220,322,6,17,3,0,1
1613379518917,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,264,332,6,18,3,0,1
